product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-04 23:02:07.971453140+00:00,67379.06,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.083781648414703e-05,-8.03209403638178e-07,195,3.25,3.257981118162219e-05,0
BTC-USD,2026-04-04 23:02:07.992615541+00:00,67379.05,67379.045,-1.4841407305339338e-07,0.010000000009313226,0.001484140953513548,4.07329963936873e-05,-7.998514788659484e-07,196,3.2666666666666666,3.268294992765259e-05,0
BTC-USD,2026-04-04 23:02:08.220753727+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.062899277483223e-05,-7.957706039737752e-07,197,3.283333333333333,3.278700902147941e-05,0
BTC-USD,2026-04-04 23:02:08.234365091+00:00,67379.04,67379.045,-1.4841409536887948e-07,0.010000000009313226,0.001484140953513548,4.0525768421181864e-05,-7.924845303260347e-07,198,3.3,3.289213443726775e-05,0
BTC-USD,2026-04-04 23:02:08.469641085+00:00,67379.04,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.042334011552697e-05,-7.884820832031759e-07,199,3.316666666666667,3.29982108721926e-05,0
BTC-USD,2026-04-04 23:02:08.498388917+00:00,67379.05,67379.045,1.4841409532455168e-07,0.010000000009313226,0.001484140953513548,4.042335610533654e-05,-7.877325170651731e-07,199,3.316666666666667,3.2998139832889786e-05,0
BTC-USD,2026-04-04 23:02:09.014941081+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.052578452590843e-05,-7.917311592837781e-07,198,3.3,3.31052484936261e-05,0
BTC-USD,2026-04-04 23:02:09.220003035+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.056314125869283e-05,-6.269352640067483e-07,197,3.283333333333333,3.3105248493626096e-05,0
BTC-USD,2026-04-04 23:02:09.971171906+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.077164328403969e-05,-6.333985141511478e-07,195,3.25,3.299076610284346e-05,0
BTC-USD,2026-04-04 23:02:10.469427574+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.07716432840397e-05,-6.333985141511478e-07,195,3.25,3.302635572670867e-05,0
BTC-USD,2026-04-04 23:02:10.720413325+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.077164328403969e-05,-6.333985141511478e-07,195,3.25,3.3131947332562796e-05,0
BTC-USD,2026-04-04 23:02:11.041324038+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.0877117849673266e-05,-6.359114812747966e-07,194,3.2333333333333334,3.3238558174059615e-05,0
BTC-USD,2026-04-04 23:02:11.219688931+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.07716537681666e-05,-6.326335870414215e-07,195,3.25,3.334620475335113e-05,0
BTC-USD,2026-04-04 23:02:11.471112632+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.0771594707959195e-05,-6.234544528685891e-07,195,3.25,3.3329938270646994e-05,0
BTC-USD,2026-04-04 23:02:11.723670624+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.0877046180390446e-05,-6.274536786539341e-07,194,3.2333333333333334,3.3437757898572696e-05,0
BTC-USD,2026-04-04 23:02:11.970476007+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.0877046180390446e-05,-6.274536786539341e-07,194,3.2333333333333334,3.354663060073953e-05,0
BTC-USD,2026-04-04 23:02:12.218908505+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.0877046180390446e-05,-6.274536786539341e-07,194,3.2333333333333334,3.365657363004924e-05,0
BTC-USD,2026-04-04 23:02:13.722057424+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.161419840629685e-05,-5.425617473971768e-07,187,3.1166666666666667,3.3329938270646994e-05,0
BTC-USD,2026-04-04 23:02:14.219348136+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.161419840629685e-05,-5.425617473971768e-07,187,3.1166666666666667,3.3437757898572696e-05,0
BTC-USD,2026-04-04 23:02:14.719084288+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.161419840629685e-05,-5.425617473971768e-07,187,3.1166666666666667,3.34377578985727e-05,0
BTC-USD,2026-04-04 23:02:15.115586394+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.150280020659194e-05,-5.396603476784752e-07,188,3.1333333333333333,3.3329938270646994e-05,0
BTC-USD,2026-04-04 23:02:15.221060665+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.150280020659194e-05,-5.396603476784752e-07,188,3.1333333333333333,3.332993827064699e-05,0
BTC-USD,2026-04-04 23:02:15.471706057+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.139229185854663e-05,-5.367898139142281e-07,189,3.15,3.34377578985727e-05,0
BTC-USD,2026-04-04 23:02:15.719624611+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.1282661577973525e-05,-5.339496561686501e-07,190,3.1666666666666665,3.34377578985727e-05,0
BTC-USD,2026-04-04 23:02:15.970910066+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.1173897798012204e-05,-5.31139394820394e-07,191,3.183333333333333,3.354663060073953e-05,0
BTC-USD,2026-04-04 23:02:16.218519776+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.106598916400467e-05,-5.283585602925386e-07,192,3.2,3.354663060073953e-05,0
BTC-USD,2026-04-04 23:02:16.470696646+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.106598916400467e-05,-5.283585602925386e-07,192,3.2,3.354663060073952e-05,0
BTC-USD,2026-04-04 23:02:16.718347495+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.095892452851526e-05,-5.25606692791015e-07,193,3.216666666666667,3.365657363004925e-05,0
BTC-USD,2026-04-04 23:02:16.969016157+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.085269294649447e-05,-5.228833420511652e-07,194,3.2333333333333334,3.365657363004925e-05,0
BTC-USD,2026-04-04 23:02:17.002381996+00:00,67379.04,67379.045,-1.4841409536887948e-07,0.010000000009313226,0.001484140953513548,4.095892452779694e-05,-5.256067707946022e-07,193,3.216666666666667,3.365666274542053e-05,0
BTC-USD,2026-04-04 23:02:17.248153960+00:00,67379.05,67379.045,1.4841409532455168e-07,0.010000000009313226,0.001484140953513548,4.100402891545554e-05,-5.283585602921774e-07,192,3.2,3.3767600289003364e-05,0
BTC-USD,2026-04-04 23:02:18.718700564+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.144018067687877e-05,-5.396603476781064e-07,188,3.1333333333333333,3.3118429005669914e-05,0
BTC-USD,2026-04-04 23:02:18.970492562+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.166355036930613e-05,-5.446923562006799e-07,186,3.1,3.301369282269634e-05,0
BTC-USD,2026-04-04 23:02:19.016016834+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.155141972712321e-05,-5.417639026727193e-07,187,3.1166666666666667,3.3118429005669914e-05,0
BTC-USD,2026-04-04 23:02:19.719840893+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.174346946280058e-05,-6.670158472061674e-07,185,3.0833333333333335,3.292515639721994e-05,0
BTC-USD,2026-04-04 23:02:19.970522518+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.185733807171624e-05,-6.706607425460919e-07,184,3.066666666666667,3.302889326860992e-05,0
BTC-USD,2026-04-04 23:02:20.218340618+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.174346946280058e-05,-6.670158472061674e-07,185,3.0833333333333335,3.3028893268609915e-05,0
BTC-USD,2026-04-04 23:02:20.249846681+00:00,67379.04,67379.045,-1.4841409536887948e-07,0.010000000009313226,0.001484140953513548,4.174345800031386e-05,-6.678224455505636e-07,185,3.0833333333333335,3.302898143795456e-05,0
BTC-USD,2026-04-04 23:02:21.238482761+00:00,67379.05,67379.045,1.4841409532455168e-07,0.010000000009313226,0.001484140953513548,4.206041674514281e-05,-5.641087136519397e-07,182,3.033333333333333,3.2720577107999794e-05,0
BTC-USD,2026-04-04 23:02:21.263797929+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.206041674514281e-05,-5.641087136519397e-07,182,3.033333333333333,3.2822386545379024e-05,0
BTC-USD,2026-04-04 23:02:22.468641720+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.253294398140973e-05,-5.760185210663017e-07,178,2.966666666666667,3.2720577107999794e-05,0
BTC-USD,2026-04-04 23:02:23.306823396+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.2690618737362316e-05,-3.7653532770279186e-07,176,2.933333333333333,3.242074009951094e-05,0
BTC-USD,2026-04-04 23:02:23.719182868+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.269062473461398e-05,-3.7568730303948366e-07,176,2.933333333333333,3.242074009951094e-05,0
BTC-USD,2026-04-04 23:02:23.970205271+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.269062473461398e-05,-3.7568730303948366e-07,176,2.933333333333333,3.23264152228702e-05,0
BTC-USD,2026-04-04 23:02:24.219034251+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.256918115226927e-05,-3.735527160903957e-07,177,2.95,3.23264152228702e-05,0
BTC-USD,2026-04-04 23:02:24.718638663+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,4.269062473461398e-05,-3.7568730303948366e-07,176,2.933333333333333,3.21339943156908e-05,0
BTC-USD,2026-04-04 23:02:27.315209830+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,3.96613528365955e-05,-1.2396180725881366e-06,168,2.8,3.1665082202380695e-05,0
BTC-USD,2026-04-04 23:02:27.471721773+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,3.954325188357261e-05,-1.2322393935846358e-06,169,2.816666666666667,3.1757239651836876e-05,0
BTC-USD,2026-04-04 23:02:29.025039736+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,2.189422021297514e-05,-1.2938513632642674e-06,161,2.683333333333333,3.130431908777036e-05,0
BTC-USD,2026-04-04 23:02:29.327871056+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,1.5941657171095847e-05,-9.950198883954971e-08,160,2.6666666666666665,3.139335390750959e-05,0
BTC-USD,2026-04-04 23:02:30.218930513+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,1.4232448396926403e-05,6.549702362129743e-07,156,2.6,3.12159606625165e-05,0
BTC-USD,2026-04-04 23:02:30.472273033+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,1.4324920628508224e-05,6.645020638968495e-07,154,2.566666666666667,3.130424162325743e-05,0
BTC-USD,2026-04-04 23:02:32.739860621+00:00,67379.05,67379.045,0.0,0.010000000009313226,0.001484140953513548,1.4816248191999183e-05,7.099327735166893e-07,144,2.4,3.1041695709176625e-05,0
BTC-USD,2026-04-04 23:02:32.985291340+00:00,67379.04,67379.045,-1.4841409536887948e-07,0.010000000009313226,0.001484140953513548,1.4764885319237218e-05,7.039720313716507e-07,145,2.4166666666666665,3.104177112409734e-05,0
